Number,Journal tittle,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online,African Journal Online (AJOL),SABINET Journal repository
1,International Journal of Energetica  ,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
2,Journal de la Faculté de Médecine,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
3,Journal of Fundamental and Applied Sciences  ,African Journal Online (AJOL),1,0,0,1,1,1,0,0,1,1,1,0
4,les cahiers du cread,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
5,Management & Economics Research Journal,African Journal Online (AJOL),0,0,0,0,1,1,1,1,1,1,1,0
6,Revue d'Information Scientifique et Technique,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
7,Synthèse: Revue des Sciences et de la Technologie ,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
8,Technologies Avancées,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
9,Annales des Sciences Agronomiques,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
10,Botswana Journal of Economics,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
11,Botswana Journal of Technology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
12,Marang: Journal of Language and Literature,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
13,Revue Burkinabè de droit,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
14,"Science et Technique, Sciences de la Santé",African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
15,Sud Sciences et Technologies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
16,East Africa Science,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
